,Country,HDPE[kg/hr],LDPE[kg/hr],PP[kg/hr],PS[kg/hr],HEATER_T,pyro_EAC,pyro_TPC,pyro_REV_SMR,pyro_REV_NG,SMR_EAC,SMR_TPC,SMR_REV,SMRCCU_EAC,SMRCCU_TPC,SMRCCU_REV,WFGD_EAC,WFGD_TPC,WFGD_REV,Path1_EAC,Path1_TPC,Path1_REV,Path2_EAC,Path2_TPC,Path2_REV,Path3_EAC,Path3_TPC,Path3_REV,Path4_EAC,Path4_TPC,Path4_REV,Path5_EAC,Path5_TPC,Path5_REV,Path6_EAC,Path6_TPC,Path6_REV
23,China,13,40,14,15,900,115329.9249,384584.36,451544.2992,498746.0289,90789.40285,154924.0103,52779.80302,4024.258332,6052.570716,2906.137182,305443.6054,74268.79856,5372.704353,515587.191482,619829.739576,512602.94375499996,511562.93315,613777.16886,509696.806573,210143.586082,545560.941016,507230.239402,206119.32775,539508.3703,504324.10222,420773.5303,458853.15856,504118.73325299995,115329.9249,384584.36,498746.0289
24,China,13,40,14,15,950,115345.4172,403824.9895,453438.6461,499623.3259,89481.7381,151686.8748,51642.55489,3959.011668,5925.503302,2843.516934,329931.1617,81748.06825,6110.386245,538717.328668,643185.435852,514035.10416900006,534758.317,637259.93255,511191.58723500004,208786.16696799998,561437.367602,507924.71792400006,204827.15529999998,555511.8643,505081.20099000004,445276.57889999996,485573.05775000004,505733.712145,115345.4172,403824.9895,499623.3259
25,China,13,40,14,15,1000,115361.3847,423862.6419,455329.6575,500518.545,88413.70987,148485.1822,50529.08464,3989.582211,5815.79029,2782.20759,353901.6512,89248.28963,6868.37604,561666.3279810001,667411.90402,515509.32577,557676.74577,661596.11373,512727.11818,207764.67678100002,578163.61439,508640.94973,203775.09457000002,572347.8241,505858.74214,469263.0359,513110.93153,507386.92104,115361.3847,423862.6419,500518.545
26,China,13,40,14,15,1050,115378.627,444661.1317,457213.5022,501442.4241,86940.05195,145460.8078,49454.80334,3832.946324,5681.61682,2722.883798,377434.1412,96784.33279,7645.519608,583585.766474,692587.8891100001,517036.70894599997,579752.82015,686906.2722900001,514313.825148,206151.62527399996,595803.5563200001,509391.18933799997,202318.67894999997,590121.9395000001,506668.30554,492812.7682,541445.46449,509087.943708,115378.627,444661.1317,501442.4241
27,China,13,40,14,15,1100,115397.4114,466189.6189,459051.6708,502362.7151,85735.80246,142532.3632,48429.34348,3773.163331,5566.220586,2666.595772,400606.2547,104392.4696,8429.423353,605512.631891,718680.672286,518577.033405,601739.46856,713114.4517,515910.437633,204906.377191,614288.202686,510147.610052,201133.21386000002,608721.9821,507481.01428,516003.6661,570582.0885,510792.138453,115397.4114,466189.6189,502362.7151
28,China,13,40,14,15,1150,115418.3912,488422.9352,460832.0655,503270.7407,84582.9206,139750.7999,47453.8931,3716.282401,5457.074937,2612.888222,423471.1599,112027.064,9246.71973,627188.754101,745657.8740370001,520145.566552,623472.4717,740200.7991000001,517532.67833,203717.594201,633630.8100370001,510898.846822,200001.3118,628173.7351,508285.9586,538889.5511,600449.9992,512517.46043000004,115418.3912,488422.9352,503270.7407
29,China,13,40,14,15,1200,115443.2731,511341.2139,462607.983,504223.6006,83488.17528,137125.3635,46533.5835,3662.408371,5354.064805,2562.217111,446073.7804,119720.191,10084.68173,648667.637151,773540.8332049999,521788.465341,645005.22878,768186.7684,519226.24823,202593.856751,653820.6422049999,511703.783611,198931.44838000002,648466.5774,509141.5665,561517.0535,631061.4049,514308.28233,115443.2731,511341.2139,504223.6006
30,Saudi Arabia,6,20,10,6,500,71042.7215,95349.10472,142135.7631,167217.9403,59674.33893,55964.74899,29265.15048,2524.779064,2193.117482,1544.144666,28620.25075,4778.781505,96.1721875,161862.090244,158285.752697,173041.23043350002,159337.31118,156092.635215,171497.08576750002,133241.83949399999,153506.971192,172945.05824600003,130717.06043,151313.85371,171400.91358000002,99662.97224999999,100127.88622500001,167314.11248749998,71042.7215,95349.10472,167217.9403
31,Saudi Arabia,6,20,10,6,550,71054.35221,95516.74927,138591.2233,164497.2088,60964.1123,57697.72154,30226.73018,2584.60262,2261.404234,1594.954128,64480.51771,11282.97208,403.9398687,199083.58483999997,166758.847124,170816.84747670003,196498.98222,164497.44289,169221.89334870002,134603.06712999998,155475.875044,170412.90760800004,132018.46451,153214.47081,168817.95348000003,135534.86992,106799.72135,164901.14866869999,71054.35221,95516.74927,164497.2088
32,Saudi Arabia,6,20,10,6,600,71062.31741,99327.94863,136190.7453,162421.3962,61470.96444,58375.38748,30608.05943,2607.535949,2287.299925,1615.551513,90716.92784,16321.16475,714.636922,225857.74563900003,176311.800785,169128.99316500002,223250.20969,174024.50086,167513.441652,135140.817799,159990.636035,168414.35624300002,132533.28185,157703.33611,166798.80473,161779.24525,115649.11338,163136.033122,71062.31741,99327.94863,162421.3962
33,Saudi Arabia,6,20,10,6,650,71072.26799,103567.2821,134817.6934,161039.3318,61456.98851,58356.44242,30597.54323,2606.884838,2286.552109,1614.996512,113281.4774,20822.8611,1031.040693,248417.618738,185033.137729,168061.273835,245810.7339,182746.58562,166446.277323,135136.141338,164210.276629,167030.233142,132529.2565,161923.72452,165415.23663,184353.74539,124390.14319999999,162070.372493,71072.26799,103567.2821,161039.3318
34,Saudi Arabia,6,20,10,6,700,71080.61878,108198.5859,134039.0039,160018.6278,61081.09223,57847.62204,30315.14052,2589.38185,2266.469073,1600.090669,133771.3973,25035.94216,1353.411008,268522.49016000004,193348.619173,167307.64609700002,265933.10831000004,191082.1501,165707.55542800002,134751.09286,168312.677013,165954.23508900002,132161.71101,166046.20794,164354.14442000003,204852.01608000003,133234.52806,161372.03880799998,71080.61878,108198.5859,160018.6278
35,Saudi Arabia,6,20,10,6,750,71089.42118,113194.3263,133724.2499,159322.0325,60482.4531,57051.13934,29866.2273,2562.441444,2236.183594,1575.762035,152902.2174,29060.1915,1697.868289,287036.53312399995,201541.84073400003,166864.107524,284474.09167999995,199305.65714000002,165288.345489,134134.315724,172481.649234,165166.239235,131571.87428,170245.46564,163590.4772,223991.63858,142254.5178,161019.900789,71089.42118,113194.3263,159322.0325
36,Saudi Arabia,6,20,10,6,800,71098.52972,118524.4433,133711.0701,158845.5857,59757.2052,56073.85289,29326.77358,2528.473073,2197.23365,1547.501429,171074.0024,32972.69533,2045.228031,304458.210393,209768.22517,166630.57314000002,301929.73732,207570.99151999998,165083.07171100003,133384.207993,176795.52984,164585.34510900002,130855.73492,174598.29619,163037.84368000002,242172.53212,151497.13863,160890.813731,71098.52972,118524.4433,158845.5857
37,Saudi Arabia,6,20,10,6,850,71107.52645,124162.5195,133873.7555,158501.6907,58957.94243,55006.81274,28735.67705,2491.437484,2155.12527,1516.306527,188530.3072,36811.13777,2400.265913,321087.213564,218135.59527999998,166526.00499000002,318595.77608,215980.47001,165009.698463,132556.906364,181324.45750999998,164125.739077,130065.46888,179169.33224,162609.43255,259637.83365000002,160973.65727,160901.95661300002,71107.52645,124162.5195,158501.6907
38,Saudi Arabia,6,20,10,6,900,71117.38183,130088.2159,134179.2078,158287.0656,58131.76055,53910.44077,28128.84416,2453.231927,2111.861652,1484.283492,205426.5099,40589.57784,2767.8873,337128.884207,226700.09616199997,166560.222752,334675.65228000004,224588.23450999998,165075.93926,131702.374307,186110.518322,163792.335452,129249.14238,183998.65667,162308.05196,276543.89173000003,170677.79374,161054.9529,71117.38183,130088.2159,158287.0656
39,Saudi Arabia,6,20,10,6,950,71127.12655,136282.4264,134535.9517,158123.0355,57298.58925,52811.6726,27521.20385,2414.785188,2068.508362,1452.218904,221884.9395,44332.25737,3147.462136,352725.440488,235494.864732,166656.83659,350310.6553,233426.35637,165204.61768599998,130840.500988,191162.60736199998,163509.374454,128425.7158,189094.099,162057.15555,293012.06605,180614.68377,161270.497636,71127.12655,136282.4264,158123.0355
40,Saudi Arabia,6,20,10,6,1000,71137.43181,142731.3577,134935.9111,158014.1666,56478.67479,51737.18451,26927.50795,2377.03062,2026.11773,1420.891247,237983.9837,48051.16142,3537.570384,367977.12092,244545.82135999997,166821.88068099998,365600.09030000004,242519.70362999997,165400.989434,129993.13722,196494.65993999998,163284.310297,127616.1066,194468.54220999999,161863.41905,309121.41551,190782.51911999998,161551.736984,71137.43181,142731.3577,158014.1666
41,Saudi Arabia,6,20,10,6,1050,71148.76808,149423.4358,135371.082,157959.7764,55684.17976,50702.49902,26356.29612,2340.523529,1985.302508,1390.750704,253788.9902,51756.28528,3938.292849,382962.461569,253867.52260800003,167056.421673,380621.93804,251882.22010000004,165665.670969,129173.47136899999,202111.23732800002,163118.128824,126832.94784,200125.93482000002,161727.37812,324937.75828,201179.72108,161898.069249,71148.76808,149423.4358,157959.7764
42,Saudi Arabia,6,20,10,6,1100,71160.83411,156348.3499,135805.0172,157924.9082,54918.04441,49710.85317,25809.305,2305.392179,1946.190688,1361.888367,269352.2524,55458.05346,4348.159233,397736.523099,263463.447218,167324.36980000001,395431.13092,261517.25652999998,165962.481433,128384.270699,208005.393758,162976.210567,126078.87852,206059.20307,161614.3222,340513.08651,211806.40336,162273.06743300002,71160.83411,156348.3499,157924.9082
43,Saudi Arabia,6,20,10,6,1150,71174.30884,163498.3928,136242.0441,157916.6404,54185.36344,48768.15872,25289.74516,2271.861623,1909.014532,1334.473758,284701.8716,59155.84052,4770.207395,412333.405503,273331.406572,167636.470413,410061.54388,271422.39204,166301.996655,127631.533903,214175.566052,162866.263018,125359.67228,212266.55152,161531.78926,355876.18044,222654.23332,162686.847795,71174.30884,163498.3928,157916.6404
