,Country,HDPE[kg/hr],LDPE[kg/hr],PP[kg/hr],PS[kg/hr],HEATER_T,pyro_EAC,pyro_TPC,pyro_REV_SMR,pyro_REV_NG,SMR_EAC,SMR_TPC,SMR_REV,SMRCCU_EAC,SMRCCU_TPC,SMRCCU_REV,WFGD_EAC,WFGD_TPC,WFGD_REV,Path1_EAC,Path1_TPC,Path1_REV,Path2_EAC,Path2_TPC,Path2_REV,Path3_EAC,Path3_TPC,Path3_REV,Path4_EAC,Path4_TPC,Path4_REV,Path5_EAC,Path5_TPC,Path5_REV,Path6_EAC,Path6_TPC,Path6_REV
30,Saudi Arabia,6,20,10,6,500,71042.7215,95349.10472,142927.9712,168010.1484,59674.33893,55964.74899,146325.7524,2524.779064,2193.117482,1544.144666,28620.25075,4778.781505,96.1721875,161862.090244,158285.752697,290894.0404535,159337.31118,156092.635215,289349.8957875,133241.83949399999,153506.971192,290797.868266,130717.06043,151313.85371,289253.7236,99662.97224999999,100127.88622500001,168106.3205875,71042.7215,95349.10472,168010.1484
31,Saudi Arabia,6,20,10,6,550,71054.35221,95516.74927,139239.3428,165145.3283,60964.1123,57697.72154,151133.6509,2584.60262,2261.404234,1594.954128,64480.51771,11282.97208,403.9398687,199083.58483999997,166758.847124,292371.8876967,196498.98222,164497.44289,290776.9335687,134603.06712999998,155475.875044,291967.947828,132018.46451,153214.47081,290372.9937,135534.86992,106799.72135,165549.2681687,71054.35221,95516.74927,165145.3283
32,Saudi Arabia,6,20,10,6,600,71062.31741,99327.94863,136743.7267,162974.3776,61470.96444,58375.38748,153040.2971,2607.535949,2287.299925,1615.551513,90716.92784,16321.16475,714.636922,225857.74563900003,176311.800785,292114.2122349999,223250.20969,174024.50086,290498.66072199994,135140.817799,159990.636035,291399.57531299995,132533.28185,157703.33611,289784.02379999997,161779.24525,115649.11338,163689.014522,71062.31741,99327.94863,162974.3776
33,Saudi Arabia,6,20,10,6,650,71072.26799,103567.2821,135304.3298,161525.9681,61456.98851,58356.44242,152987.7161,2606.884838,2286.552109,1614.996512,113281.4774,20822.8611,1031.040693,248417.618738,185033.137729,290938.083105,245810.7339,182746.58562,289323.08659300004,135136.141338,164210.276629,289907.042412,132529.2565,161923.72452,288292.0459,184353.74539,124390.14319999999,162557.008793,71072.26799,103567.2821,161525.9681
34,Saudi Arabia,6,20,10,6,700,71080.61878,108198.5859,134475.3013,160454.9252,61081.09223,57847.62204,151575.7026,2589.38185,2266.469073,1600.090669,133771.3973,25035.94216,1353.411008,268522.49016000004,193348.619173,289004.50557700003,265933.10831000004,191082.1501,287404.41490800004,134751.09286,168312.677013,287651.094569,132161.71101,166046.20794,286051.0039,204852.01608000003,133234.52806,161808.336208,71080.61878,108198.5859,160454.9252
35,Saudi Arabia,6,20,10,6,750,71089.42118,113194.3263,134121.5987,159719.3814,60482.4531,57051.13934,149331.1365,2562.441444,2236.183594,1575.762035,152902.2174,29060.1915,1697.868289,287036.53312399995,201541.84073400003,286726.365524,284474.09167999995,199305.65714000002,285150.603489,134134.315724,172481.649234,285028.497235,131571.87428,170245.46564,283452.7352,223991.63858,142254.5178,161417.24968900002,71089.42118,113194.3263,159719.3814
36,Saudi Arabia,6,20,10,6,800,71098.52972,118524.4433,134077.4048,159211.9205,59757.2052,56073.85289,146633.8679,2528.473073,2197.23365,1547.501429,171074.0024,32972.69533,2045.228031,304458.210393,209768.22517,284304.00216,301929.73732,207570.99151999998,282756.500731,133384.207993,176795.52984,282258.77412899997,130855.73492,174598.29619,280711.2727,242172.53212,151497.13863,161257.148531,71098.52972,118524.4433,159211.9205
37,Saudi Arabia,6,20,10,6,850,71107.52645,124162.5195,134214.7495,158842.6848,58957.94243,55006.81274,143678.3852,2491.437484,2155.12527,1516.306527,188530.3072,36811.13777,2400.265913,321087.213564,218135.59527999998,281809.70713999995,318595.77608,215980.47001,280293.400613,132556.906364,181324.45750999998,279409.441227,130065.46888,179169.33224,277893.1347,259637.83365000002,160973.65727,161242.950713,71107.52645,124162.5195,158842.6848
38,Saudi Arabia,6,20,10,6,900,71117.38183,130088.2159,134499.374,158607.2318,58131.76055,53910.44077,140644.2208,2453.231927,2111.861652,1484.283492,205426.5099,40589.57784,2767.8873,337128.884207,226700.09616199997,279395.76559200004,334675.65228000004,224588.23450999998,277911.4821,131702.374307,186110.518322,276627.87829200004,129249.14238,183998.65667,275143.5948,276543.89173000003,170677.79374,161375.1191,71117.38183,130088.2159,158607.2318
39,Saudi Arabia,6,20,10,6,950,71127.12655,136282.4264,134838.5116,158425.5954,57298.58925,52811.6726,137606.0192,2414.785188,2068.508362,1452.218904,221884.9395,44332.25737,3147.462136,352725.440488,235494.864732,277044.21184,350310.6553,233426.35637,275591.992936,130840.500988,191162.60736199998,273896.749704,128425.7158,189094.099,272444.5308,293012.06605,180614.68377,161573.05753599998,71127.12655,136282.4264,158425.5954
