,Unnamed: 0,LIME-DS_BAL_MASI_TFL,LIME-DS_QCALC,SCRUBBER_TOT_VOL,SCRUBBER_QCALC,GYP-CR_TOT_VOL,GYP-CR_QCALC,GAS-SP_BAL_MASI_TFL,GAS-SP_QCALC,GYP-SP_BAL_MASI_TFL,GYP-SP_QCALC,gypsum production,H2O,CO2,SO2,O2,CALCI-01,CALCI-02,N2,NA2O,NO,NO2,AR,EAC,TPC,Revenue
0,0,6987.5,4891.49517,13655.0168,54914.9421,13656.2973,-14.4997715,6990.29161,-7358.32663,6990.29161,0.00558602956,0.0020394059,,,,,,,,,,,,77496.7876123087,41898.77858677817,8667.475075
1,0,6987.5,4891.49517,13676.6298,54232.4946,13677.6895,8.90465139,7001.61407,-7377.03795,7001.61407,0.00227050607,0.044510078,,,,,,,,,,,,77558.30676617395,41585.00249650936,189167.8315
2,0,6987.5,4891.49517,13699.3518,53387.369,13702.028,89.5658684,7013.54677,-7396.3179,7013.54677,0.024654543,0.483884197,,,,,,,,,,,,77624.7194188849,41220.14374023957,2056507.83725
3,0,6987.5,4891.49517,13724.7771,52811.3699,13729.2111,-132.054338,7025.69972,-7416.13417,7025.69972,0.024910852,0.516242276,,,,,,,,,,,,77696.67118157218,40839.84703870144,2194029.6730000004
4,0,6987.5,4891.49517,14370.1893,52059.8703,17841.1068,122.47667,7037.76496,-7527.60564,7037.76496,0.00961433647,0.232683018,,,,,,,,,,,,81944.07760321024,41262.57372578459,988902.8265
5,0,6987.5,4891.49517,22709.3275,51543.449,27372.9496,152.135995,7050.32802,-7646.79361,7046.38544,-0.0214189698,0.196509338,0.37968707,1.18044257,1.59354748e-11,0.385565502,1.84056948e-87,1.2073136299999999e-83,1.79525875,3.9627895e-82,0.00716339473,6.34231745e-06,0.194450085,96192.4086320943,43247.61606641868,835164.6865000001
6,0,6987.5,4891.49517,32654.8549,51065.513,38558.4536,200.563782,7063.18252,-7783.42942,7054.17236,-0.0281587494,0.246811746,0.850768144,3.0929805,9.0627023e-11,0.906249066,3.72999054e-87,3.3980543e-83,3.69589927,8.89526898e-82,0.0121151703,1.7077979e-05,0.452129184,110593.9047982494,45285.65470071675,1048949.9205
7,0,6987.5,4891.49517,44231.3858,50670.9306,51381.4635,243.850517,7076.25608,-7944.15639,7061.29644,0.00887953746,0.264560077,1.38800766,5.7279406,4.71903868e-11,1.51404162,8.04009719e-89,5.9430759099999994e-83,5.56621175,1.45365174e-81,0.0162589695,3.25925498e-05,0.747149341,125219.78164977567,47398.46713201102,1124380.3272499999
8,0,6987.5,4891.49517,57335.8607,50343.1931,65710.4837,289.663838,7089.52992,-8123.29827,7067.75317,0.00806926725,0.304023729,1.98951078,9.11063071,7.31963591e-07,2.1821438,9.878729659999999e-89,9.790273539999999e-83,7.40626408,2.08681408e-81,0.0200775164,5.35492542e-05,1.06806588,139969.39941455208,49565.682285034214,1292100.84825
9,0,6987.5,4891.49517,71849.1298,50073.8535,81407.7739,338.920599,7103.00215,-8314.51063,7073.55902,0.00751301133,0.378950622,2.65349369,13.2487038,6.73470279e-12,2.88746708,3.69291593e-87,1.62775955e-82,9.22268976,2.78722097e-81,0.0237455081,8.05967527e-05,1.40695138,154755.34059341805,51769.654824338046,1610540.1435
10,0,6987.5,4891.49517,87728.5664,49881.9361,98413.5429,376.991172,7116.65223,-8511.8051,7078.67658,0.00559416206,0.411635283,3.38168902,18.1476664,6.39169299e-10,3.63568229,9.12707462e-87,2.25367995e-82,11.02416,3.55676242e-81,0.027341169,0.000114465119,1.7589959,169575.30973012085,54011.860073887095,1749449.9527500002
11,0,6987.5,4891.49517,104759.528,49751.6706,116505.573,408.09027,7130.4439,-8709.0843,7083.14915,0.00335132073,0.426080659,4.16760257,23.7614076,1.61267372e-11,4.40605647,7.55163391e-89,2.87521276e-82,12.8097015,4.38845047e-81,0.0308943306,0.00015557655,2.11893368,184285.6364600799,56263.90967140955,1810842.80075
12,0,6987.5,4891.49517,122763.783,49661.2593,135523.862,440.271455,7144.38958,-8902.10973,7087.05298,0.000921989774,0.46764852,5.00630585,30.0425343,2.06254536e-10,5.18623336,3.5747477499999997e-88,3.79125639e-82,14.5830221,5.27722597e-81,0.0344265683,0.000204339319,2.48387162,198810.19476868186,58506.95475662403,1987506.2100000002
13,0,6987.5,4891.49517,141604.743,49609.1616,155346.213,471.101566,7158.47009,-9088.05072,7090.42624,-0.00135346787,0.517869154,5.89364816,36.9388466,9.43476087e-10,5.97399294,5.17784497e-87,4.9432106900000004e-82,16.3472106,6.21862246e-81,0.0379498051,0.000261102942,2.85194987,213113.00031023426,60733.28201647781,2200943.9044999997
14,0,18912367.5,13239320.8,7080237.14,149075141.0,7767310.67,-2.2048491,18912372.3,-19903852.3,18912372.3,0.000317071426,0.0142850742,,,,,,,,,,,,5058394.59921264,81774185.46461211,60711.56535
15,0,18912367.5,13239320.8,36941833.8,149073924.0,36941836.8,13.8919925,18912392.6,-19903885.6,18912392.6,0.00354609768,0.0704433759,,,,,,,,,,,,8070708.654427568,82242532.49587046,299384.34757499996
16,0,18912367.5,13239320.8,36941833.8,149072673.0,36941836.8,26.4205524,18912413.4,-19903919.9,18912413.4,0.00632685053,0.133031413,,,,,,,,,,,,8070710.319111662,82241925.06823066,565383.5052499999
17,0,18912367.5,13239320.8,36941833.8,149071390.0,36941836.8,38.3857384,18912434.9,-19903955.1,18912434.9,0.00951214279,0.193602223,,,,,,,,,,,,8070712.039818006,82241301.6713444,822809.4477499999
18,0,18912367.5,13239320.8,36941833.8,149070075.0,36941836.8,51.5914316,18912456.8,-19903991.2,18912456.8,0.0127666805,0.259546172,,,,,,,,,,,,8070713.792536687,82240663.18917981,1103071.2310000001
19,0,18912367.5,13239320.8,36941833.8,149068731.0,36941836.8,65.178427,18912479.2,-19904028.1,18912479.2,0.0156859244,0.327311632,,,,,,,,,,,,8070715.585270936,82240010.67097957,1391074.4360000002
20,0,18912367.5,13239320.8,36941833.8,149067359.0,36941836.8,80.1588091,18912502.1,-19904065.7,18912502.1,0.0190534416,0.401066826,,,,,,,,,,,,8070717.418020694,82239345.10197401,1704534.0104999999
21,0,18912367.5,13239320.8,36941833.8,149065965.0,36941836.8,94.0157489,18912525.3,-19904103.9,18912525.3,0.0224209588,0.4703697,,,,,,,,,,,,8070719.274779376,82238668.18836454,1999071.225
22,0,18912367.5,13239320.8,36941833.8,149064549.0,36941836.8,108.088213,18912548.9,-19904142.8,18912548.9,0.0251798447,0.540771602,,,,,,,,,,,,8070721.163550196,82237980.5956412,2298279.3085
23,0,18912367.5,13239320.8,36941833.8,149063113.0,36941836.8,122.359394,18912572.9,-19904182.2,18912572.9,0.0289956353,0.612167123,,,,,,,,,,,,8070723.084333119,82237283.28974381,2601710.27275
24,0,18912367.5,13239320.8,36941833.8,149061658.0,36941836.8,136.817246,18912597.1,-19904222.1,18912597.1,0.0320679481,0.684482557,,,,,,,,,,,,8070725.021121578,82236576.75356574,2909050.86725
25,0,18912367.5,13239320.8,36941833.8,149060187.0,36941836.8,151.392047,18912621.7,-19904262.5,18912621.7,0.0357233807,0.7576381,,,,,,,,,,,,8070726.989922051,82235862.43253545,3219961.925
26,0,18912367.5,13239320.8,36941833.8,149058702.0,36941836.8,164.81567,18912646.5,-19904303.3,18912646.5,0.0395865498,0.825768302,,,,,,,,,,,,8070728.974727999,82235140.67870055,3509515.2835
27,0,18912367.5,13239320.8,36941833.8,149057198.0,36941836.8,180.982176,18912671.5,-19904344.5,18912671.5,0.0428921106,0.905528173,,,,,,,,,,,,8070730.975539391,82234410.9473408,3848494.7352500004
