,Country,HDPE[kg/hr],LDPE[kg/hr],Country.1,PP[kg/hr],PS[kg/hr],HEATER_T,CH4 flowrate,COOL2_HX_AREAC,COOL3_HX_AREAC,COOL4_HX_AREAC,COOL5_HX_AREAC,COMP2_BRAKE_POWER,COMP3_BRAKE_POWER,COMP4_BRAKE_POWER,COMP5_BRAKE_POWER,COOL2_HX_DUTY,COOL3_HX_DUTY,COOL4_HX_DUTY,COOL5_HX_DUTY,CO2,SMRCCU_EAC,SMRCCU_TPC,SMRCCU_REV
58,Spain,7,26,Spain,13,8,1150,4.44859644,0.010388325,0.011118748,0.011118748,0.014548788,0.250071198,0.243703271,0.222957972,0.06590911,58.22008888,62.31364978,62.31364978,81.53688603,8.41367055,2726.252283363231,14829.130277013735,1716.3887922000001
59,Spain,7,26,Spain,13,8,1200,4.36210946,0.010176937,0.010892496,0.010892496,0.01425274,0.245209461,0.238965335,0.218623354,0.064627744,57.08804768,61.10201269,61.10201269,79.95146911,8.25010819,2687.5317797722973,14543.027972692706,1683.0220707600001
60,USA,86,170,USA,66,66,500,29.9311759,0.097311452,0.104153598,0.104153598,0.136284106,1.682536303,1.639691428,1.500112305,0.443451589,391.7855326,419.3326897,419.3326897,548.6932936,56.6043848,12153.49272171852,50356.65680684923,11547.2944992
61,USA,86,170,USA,66,66,550,33.2476262,0.114152946,0.122179248,0.122179248,0.159870518,1.868948316,1.82135656,1.66631315,0.492582596,435.1057011,465.6987785,465.6987785,609.3629304,62.8826355,13356.252871080702,55906.29386369579,12828.057642
62,USA,86,170,USA,66,66,600,35.9481987,0.129498285,0.138603546,0.138603546,0.181361573,2.020755557,1.969298113,1.801661143,0.532593122,470.6806557,503.7750733,503.7750733,659.1854414,67.9740386,14358.992043768392,60453.68573026545,13866.7038744
63,USA,86,170,USA,66,66,650,38.0191259,0.142275113,0.152278736,0.152278736,0.199255444,2.137168547,2.082746708,1.9054524,0.563275091,497.678349,532.6710236,532.6710236,696.9955492,71.8981588,15140.834843048438,63919.62648917259,14667.224395200003
64,USA,86,170,USA,66,66,700,38.3681927,0.144493074,0.154652646,0.154652646,0.202361685,2.156790643,2.101869139,1.922947029,0.568446717,502.1172944,537.4220795,537.4220795,703.2122657,72.5674025,15272.93201211082,64494.71193456309,14803.750109999999
65,USA,86,170,USA,66,66,750,37.8054972,0.140864958,0.150769431,0.150769431,0.197280531,2.125159851,2.071043808,1.894745711,0.560110062,494.7652305,529.5530785,529.5530785,692.9157442,71.5023185,15058.037919275648,63551.239882236245,14586.472974
66,USA,86,170,USA,66,66,800,37.1216429,0.136558565,0.146160247,0.146160247,0.191249453,2.086718358,2.033581206,1.860472123,0.549978369,485.8182322,519.9770004,519.9770004,680.3855266,70.2087509,14798.370142199885,62403.8769656991,14322.585183599998
67,USA,86,170,USA,66,66,850,36.3750805,0.131986042,0.141266222,0.141266222,0.184845662,2.044751858,1.992683361,1.823055716,0.538917621,476.0511841,509.5232132,509.5232132,666.7068342,68.7965306,14516.825087547257,61151.63475226134,14034.4922424
68,USA,86,170,USA,66,66,900,35.6067654,0.127413666,0.136372354,0.136372354,0.178442077,2.001562572,1.950593867,1.7845491,0.527534593,465.9978014,498.7629589,498.7629589,652.6271319,67.3432845,14229.03084599412,59863.06625587036,13738.030037999999
69,USA,86,170,USA,66,66,950,34.8390348,0.122973993,0.131620519,0.131620519,0.172224341,1.958406143,1.908536392,1.746071778,0.516160225,455.9510377,488.0097889,488.0097889,638.5566995,65.8912162,13943.312444902433,58575.68262101071,13441.8081048
70,USA,86,170,USA,66,66,1000,34.0867709,0.118743522,0.127092596,0.127092596,0.166299592,1.916119144,1.867326209,1.708369622,0.505015005,446.1059434,477.4724679,477.4724679,624.7687038,64.4684524,13665.030755511145,57314.436101219195,13151.5642896
71,USA,86,170,USA,66,66,1050,33.3652478,0.114792453,0.12286372,0.12286372,0.160766143,1.875560177,1.827800054,1.67220814,0.494325228,436.6623785,467.3649087,467.3649087,611.5430477,63.1038838,13399.574726906232,56104.8915805732,12873.1922952
72,USA,86,170,USA,66,66,1100,32.6727681,0.111094696,0.118905968,0.118905968,0.155587457,1.836633825,1.789864941,1.637502262,0.484065745,427.5989817,457.664248,457.664248,598.8498148,61.7942405,13146.057468518964,54944.23290710141,12606.025062
73,USA,86,170,USA,66,66,1150,32.0149017,0.107663875,0.115233919,0.115233919,0.150782612,1.799653192,1.753825999,1.604531144,0.474319078,418.9883008,448.4481343,448.4481343,586.7906077,60.5500811,12906.267060884424,53841.727697830655,12352.2165444
74,USA,86,170,USA,66,66,1200,31.389476,0.104473793,0.111819536,0.111819536,0.146314922,1.764496147,1.719564209,1.573185897,0.465053039,410.8022762,439.6865354,439.6865354,575.3261292,59.36727,12679.191442479983,52793.73162159428,12110.92308
