,Unnamed: 0,LIME-DS_BAL_MASI_TFL,LIME-DS_QCALC,SCRUBBER_TOT_VOL,SCRUBBER_QCALC,GYP-CR_TOT_VOL,GYP-CR_QCALC,GAS-SP_BAL_MASI_TFL,GAS-SP_QCALC,GYP-SP_BAL_MASI_TFL,GYP-SP_QCALC,gypsum production,H2O,CO2,SO2,O2,CALCI-01,CALCI-02,N2,NA2O,AR,err,EAC,TPC,Revenue
57,0,478593.375,335032.155,935216.981,3771223.61,935218.655,125.560186,478681.86,-503728.754,478681.86,0.033245976,0.685211679,,,,,,,,,,,922119.9931087847,2192436.5415523187,2912149.63575
58,0,478593.375,335032.155,935464.71,3770210.79,935467.562,226.985855,478753.334,-503765.336,478753.334,0.062610616,1.23870205,,,,,,,,,,,922230.3890918907,2192007.1665891362,5264483.7125
59,0,478593.375,335032.155,935697.125,3769169.19,935701.194,331.331863,478826.87,-503802.985,478826.87,0.095500399,1.80815549,,,,,,,,,,,922336.2271202853,2191564.4144044984,7684660.8325000005
60,0,478593.375,335032.155,935925.423,3768092.39,935930.794,439.211296,478902.901,-503841.908,478902.901,0.132180575,2.39692145,,,,,,,,,,,922441.5218145646,2191106.0633258093,10186916.1625
61,0,478593.375,335032.155,936152.647,3766992.15,936159.405,549.425157,478980.58,-503881.661,478980.58,0.17236579,2.99846239,,,,,,,,,,,922547.0259146445,2190637.404085207,12743465.157499999
62,0,478593.375,335032.155,936381.934,3765870.31,936390.168,661.773324,479059.769,-503922.166,479059.769,0.215907362,3.61168941,,,,,,,,,,,922653.7717272636,2190159.4001672533,15349679.9925
63,0,478593.375,335032.155,936615.326,3764728.39,936625.123,776.091052,479140.352,-503963.356,479140.352,0.262832623,4.23570761,,,,,,,,,,,922762.4209386659,2189672.817961413,18001757.3425
64,0,478593.375,335032.155,936854.156,3763568.14,936865.604,892.192271,479222.197,-504005.157,479222.197,0.312992036,4.8695048,,,,,,,,,,,922873.3859340553,2189178.487285247,20695395.4
65,0,478593.375,335032.155,937099.401,3762391.1,937112.586,1009.91101,479305.188,-504047.502,479305.188,0.366313735,5.51217948,,,,,,,,,,,922986.9614765511,2188677.126599899,23426762.790000003
66,0,478593.375,335032.155,1095185.89,3762889.69,1099864.74,1179.1684,479389.281,-505832.226,479389.281,0.422646759,6.16338449,,,,,,,,,,,976458.3598734301,2197428.158399573,26194384.082500003
67,0,478593.375,335032.155,1264733.45,3763512.79,1269951.65,1305.7802,479474.326,-506266.404,479396.606,-0.571738606,6.82195682,8.590426,0.953932678,1.49e-11,3.84498049,,1.38e-82,64.3294205,8.88e-81,0.001558432,,1029739.1718886123,2206114.963825066,28993316.485
68,0,478593.375,335032.155,1436905.47,3764166.95,1442672.13,1433.79679,479560.269,-506705.814,479403.284,-0.629049665,7.48748909,17.3390166,2.09606381,6.94e-12,8.16254137,3.2899999999999996e-92,3.07e-82,129.384562,1.79e-80,0.003295125,,1080992.573481963,2214502.8843511553,31821828.6325
69,0,478593.375,335032.155,1611423.56,3764850.82,1617746.64,1563.04292,479646.997,-507154.099,479409.573,-0.686989059,8.15910075,26.2051901,3.42377333,2.81e-11,12.8976754,4.05e-92,5.0499999999999996e-82,194.892564,2.71e-80,0.005187239,,1130493.0793524017,2222633.6427771454,34676178.1875
