,CH4 flowrate,PUMP_BRAKE_POWER,COMP_BRAKE_POWER,HEAT1_HX_AREAC,HEAT1_HX_DUTY,HEAT2_HX_AREAC,HEAT2_HX_DUTY,COOL1_HX_AREAC,COOL1_HX_DUTY,HX1_HX_AREAC,HX1_HX_DUTY,HX2_HX_AREAC,HX2_HX_DUTY,DRUM_BAL_MASI_TFL,SMR_QCALC,SMR_BAL_MASI_TFL,WGS_BAL_MASI_TFL,PSA_QCALC,PSA_BAL_MOLI_TFL,VSA_QCALC,VSA_BAL_MASI_TFL,VSA_BAL_MOLI_TFL,CH4,CO2,H2,H2O,S1,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S2,S3,S4,S5,S6,S7,S8,S9,S9-1,S9-2,CH4,CO,CO2,H2,H2O
0,4.00250168,0.028029249,1.06839986,0.010373767,73.5358265,0.008421117,10.0524405,0.243776997,1323.42966,0.028678228,817.923009,0.035616927,2024.68779,17.4873302,4852.12281,17.4873301,17.4873301,-6.33229562,1.12072,-0.151689285,10.0999009,0.40908726,4.00250168,7.909917,1.4345662,13.4848284,13.4848284,17.4873302,17.4873302,5.95286301,11.5344671,10.0999009,1.4345662,10.0999009,10.0999009,7.909917,2.18998394,4.00250168,4.00250168,13.4848284,13.4848284,17.4873301,17.4873301,17.4873301,17.4873302,17.4873302,0,0,0.280104,7.5693366,0.0604764,0
0,4.13396134,0.028949852,1.10349078,0.010721539,75.9510646,0.00869949,10.3829927,0.252439097,1366.73228,0.029628245,844.787178,0.036786743,2091.18739,18.0616905,5011.48775,18.0616905,18.0616905,-6.54048791,1.15754077,-0.159416892,10.4318129,0.422525563,4.13396134,8.15898299,1.48170246,13.9277292,13.9277292,18.0616905,18.0616905,6.14817512,11.9135154,10.4318129,1.48170246,10.4318129,10.4318129,8.15898299,2.27282992,4.13396134,4.13396134,13.9277292,13.9277292,18.0616905,18.0616905,18.0616905,18.0616905,18.0616905,0,0,0.280104,7.81840259,0.0604764,0
0,4.18576999,0.029312664,1.11732022,0.010858723,76.9029173,0.008810451,10.5156432,0.255717464,1382.78297,0.03005268,855.374429,0.037247771,2117.39509,18.2880477,5074.29395,18.2880477,18.2880477,-6.62384373,1.17212241,-0.162526268,10.5637737,0.427834523,4.18576999,8.25995056,1.50039507,14.1022777,14.1022777,18.2880477,18.2880477,6.22387895,12.0641688,10.5637737,1.50039507,10.5637737,10.5637737,8.25995056,2.30382315,4.18576999,4.18576999,14.1022777,14.1022777,18.2880477,18.2880477,18.2880477,18.2880477,18.2880477,0,0,0.280104,7.91937016,0.0604764,0
0,4.18433179,0.029302593,1.11693632,0.010854914,76.876494,0.008807406,10.5120297,0.255622042,1382.30781,0.030042354,855.080528,0.037234973,2116.66757,18.281764,5072.55046,18.281764,18.281764,-6.62156788,1.17171969,-0.162441471,10.5601442,0.427687523,4.18433179,8.25722997,1.49987956,14.0974322,14.0974322,18.281764,18.281764,6.22174025,12.0600238,10.5601442,1.49987956,10.5601442,10.5601442,8.25722997,2.30291425,4.18433179,4.18433179,14.0974322,14.0974322,18.281764,18.281764,18.281764,18.281764,18.281764,0,0,0.280104,7.91664957,0.0604764,0
0,4.14571223,0.029032143,1.10662748,0.010752648,76.1669574,0.008725649,10.4150079,0.253062002,1369.54976,0.029765077,847.188507,0.03689131,2097.13165,18.1130313,5025.73303,18.1130313,18.1130313,-6.56045335,1.16090521,-0.160165679,10.4626784,0.423740151,4.14571223,8.18416211,1.4860363,13.9673191,13.9673191,18.1130313,18.1130313,6.16431659,11.9487147,10.4626784,1.4860363,10.4626784,10.4626784,8.18416211,2.27851632,4.14571223,4.14571223,13.9673191,13.9673191,18.1130313,18.1130313,18.1130313,18.1130313,18.1130313,0,0,0.280104,7.84358171,0.0604764,0
0,4.08477973,0.028605436,1.09036258,0.010591377,75.0474772,0.008594941,10.2585653,0.249240106,1350.85601,0.029256887,834.736771,0.036349092,2066.3086,17.8468112,4951.86623,17.8468111,17.8468111,-6.46218119,1.14374288,-0.156504427,10.3072695,0.417493914,4.08477973,8.0649041,1.46403076,13.7620314,13.7620314,17.8468112,17.8468112,6.07551099,11.7713002,10.3072695,1.46403076,10.3072695,10.3072695,8.0649041,2.24236535,4.08477973,4.08477973,13.7620314,13.7620314,17.8468111,17.8468111,17.8468111,17.8468112,17.8468112,0,0,0.280104,7.7243237,0.0604764,0
0,4.01085363,0.028087737,1.07062927,0.010395848,73.6892724,0.008439074,10.0739759,0.244292864,1325.95296,0.028749796,819.629755,0.035691249,2028.91267,17.5238206,4862.24765,17.5238206,17.5238206,-6.34581597,1.12307513,-0.152191264,10.121247,0.409943919,4.01085363,7.92637172,1.43758694,13.512967,13.512967,17.5238206,17.5238206,5.96498662,11.558834,10.121247,1.43758694,10.121247,10.121247,7.92637172,2.1948753,4.01085363,4.01085363,13.512967,13.512967,17.5238206,17.5238206,17.5238206,17.5238206,17.5238206,0,0,0.280104,7.58579132,0.0604764,0
0,3.9300158,0.027521635,1.04905098,0.010182205,72.2040821,0.008268047,9.87091441,0.238975273,1299.23819,0.028169883,803.110306,0.0349719,1988.02041,17.170632,4764.25017,17.170632,17.170632,-6.21790528,1.10043915,-0.14746048,9.91724482,0.401681473,3.9300158,7.77345553,1.40861162,13.2406162,13.2406162,17.170632,17.170632,5.84477558,11.3258564,9.91724482,1.40861162,9.91724482,9.91724482,7.77345553,2.1437893,3.9300158,3.9300158,13.2406162,13.2406162,17.170632,17.170632,17.170632,17.170632,17.170632,0,0,0.280104,7.43287513,0.0604764,0
0,3.84702417,0.02694045,1.02689778,0.009963049,70.6793212,0.008092509,9.66245579,0.233533618,1271.80632,0.027574781,786.150722,0.034233385,1946.03863,16.8080333,4663.6417,16.8080333,16.8080333,-6.08659344,1.07720044,-0.142619001,9.70781335,0.393198955,3.84702417,7.61647987,1.37886491,12.9610091,12.9610091,16.8080333,16.8080333,5.72135504,11.0866783,9.70781335,1.37886491,9.70781335,9.70781335,7.61647987,2.09133348,3.84702417,3.84702417,12.9610091,12.9610091,16.8080333,16.8080333,16.8080333,16.8080333,16.8080333,0,0,0.280104,7.27589947,0.0604764,0
0,3.76392138,0.026358487,1.0047149,0.009743783,69.152518,0.00791678,9.45372345,0.228102896,1244.33533,0.026978999,769.168422,0.033493881,1904.00062,16.4449489,4562.89847,16.4449489,16.4449489,-5.9551088,1.05393077,-0.137787267,9.49810406,0.384705105,3.76392138,7.45930052,1.34907862,12.6810275,12.6810275,16.4449489,16.4449489,5.59776622,10.8471827,9.49810406,1.34907862,9.49810406,9.49810406,7.45930052,2.03880354,3.76392138,3.76392138,12.6810275,12.6810275,16.4449489,16.4449489,16.4449489,16.4449489,16.4449489,0,0,0.280104,7.11872012,0.0604764,0
