Country,LIME-DS_BAL_MASI_TFL,LIME-DS_QCALC,SCRUBBER_TOT_VOL,SCRUBBER_QCALC,GYP-CR_TOT_VOL,GYP-CR_QCALC,GAS-SP_BAL_MASI_TFL,GAS-SP_QCALC,GYP-SP_BAL_MASI_TFL,GYP-SP_QCALC,H2O,CO2,SO2,O2,CALCI-01,CALCI-02,N2,NA2O,AR,gypsum production,
Saudi_Arabia,5.29924101,3.70965464,91013.1328,658.529878,93667.825,68.6627535,48.6980935,-117.630854,2.1320789,0.049279144,4.46854985,5.66080291,0.000168044,4.58481132,2.26E-87,1.29E-78,31.8336298,1.94E-80,0.018052612,0.323888816,3.61E-06
Saudi_Arabia,6.38244748,4.46793717,109618.558,793.138665,112817.355,83.7489875,58.650365,-141.699301,2.56519761,0.059380389,5.38264471,6.81791896,0.000202545,5.52198331,1.52E-84,1.55E-78,38.3406752,2.33E-80,0.021742709,0.388472522,3.61E-06
Saudi_Arabia,7.48472817,5.23957233,128550.927,930.136488,132296.959,97.2411446,68.7813692,-166.153078,3.01052682,0.069645655,6.31171142,7.99540531,0.000263231,6.47566361,2.55E-87,1.82E-78,44.9623011,2.73E-80,0.025497783,0.456729501,4.00E-06
Saudi_Arabia,8.60404543,6.02313369,147769.483,1069.10471,152085.754,112.900211,79.0653637,-191.008454,3.45857936,0.080146716,7.25594844,9.19109577,0.000123799,7.44403412,2.09E-84,2.09E-78,51.6862713,3.15E-80,0.029310897,0.523784597,1.64E-06
Saudi_Arabia,9.73918509,6.81777127,167280.263,1210.13626,172150.54,127.79521,89.4965332,-216.206281,3.91494645,0.090735273,8.21319007,10.4036855,0.000117673,8.42612678,2.37E-84,2.37E-78,58.5052888,3.56E-80,0.03317791,0.592902754,1.37E-06
Saudi_Arabia,10.8890454,7.62271384,187029.597,1353.48632,192481.976,142.883319,100.06289,-241.790686,4.37503779,0.101024057,9.18411846,11.6319992,0.000781006,9.421123,2.57E-84,2.64E-78,65.4127356,3.98E-80,0.037095071,0.662514431,8.16E-06
Saudi_Arabia,12.0520636,8.4368674,206985.187,1497.4156,213032.107,158.144186,110.750344,-267.538385,4.84515024,0.112377435,10.1633969,12.874371,7.51E-07,10.4271417,2.97E-84,2.93E-78,72.3992262,4.41E-80,0.041057058,0.733795792,7.09E-09
Saudi_Arabia,13.2273536,9.25961162,227171.741,1643.53684,233807.929,173.566018,121.55045,-293.639872,5.31720523,0.123249639,11.1547598,14.1298504,0.00013303,11.4440061,3.25E-84,3.21E-78,79.4594348,4.84E-80,0.045060849,0.805275369,1.14E-06
Saudi_Arabia,14.413619,10.090039,247547.028,1790.95826,254776.922,189.131871,132.451424,-319.977323,5.79395737,0.134281045,12.1552128,15.397054,0.000178517,12.4703443,3.54E-84,3.50E-78,86.585575,5.27E-80,0.04910203,0.877475389,1.41E-06
Spain,0.295530793,0.206881924,247160.236,38.8611106,5252.17579,2.64407093,2.71571462,-6.85988616,0.109087833,0.002191257,0.255354664,0.315709198,0.002837137,0.256399004,6.80E-87,4.54E-80,1.77532001,1.16E-81,0.001006775,0.010572154,0.001088432
Spain,1.5287945,1.07020979,26258.488,190.073773,27023.7986,20.0484384,14.0486702,-33.9502535,0.614204625,0.014064971,1.28948022,1.63310197,0.000174874,1.32271803,7.10E-85,3.72E-79,9.18378241,5.58E-81,0.005208054,0.093452375,1.30E-05
Spain,2.79907071,1.95944771,48073.6893,347.951481,49479.5433,36.7407574,25.721439,-62.1595031,1.12429648,0.026016267,2.36096961,2.99005102,0.000245406,2.42174703,,6.78E-79,16.814594,1.02E-80,0.00953543,0.169788613,9.98E-06
Spain,4.10324341,2.87241435,70476.9361,509.940343,72529.0412,53.0610265,37.7075278,-91.0840324,1.65103478,0.038098934,3.4600401,4.38320281,0.000178738,3.55006702,2.13E-87,1.00E-78,24.6490261,1.50E-80,0.013978277,0.251034148,4.96E-06
Spain,5.43890384,3.80742352,93410.5272,675.893021,96138.6403,71.3681241,49.9798366,-120.752238,2.18593967,0.050595964,4.58692559,5.80999777,0.000182625,4.70564817,1.27E-84,1.32E-78,32.6726144,1.99E-80,0.018528394,0.331033121,3.82E-06
Spain,6.80344704,4.76265164,116847.497,845.442869,120255.542,88.2265228,62.5210451,-151.021093,2.73711531,0.063296001,5.73698993,7.2676399,0.000198291,5.88621997,2.71E-87,1.66E-78,40.8697048,2.49E-80,0.023176902,0.415632169,3.32E-06
Spain,8.19433472,5.73632182,140735.538,1018.22864,144837.719,106.434845,75.3024076,-181.893994,3.29642446,0.076328577,6.90985126,8.7534279,0.00016299,7.08957216,2.81E-87,1.99E-78,49.2250536,2.99E-80,0.027915158,0.500150241,2.26E-06
Spain,9.60947002,6.72696617,165038.251,1194.06454,169851.267,125.005784,88.3064902,-213.310748,3.86518443,0.089562657,8.10329423,10.2651181,0.000178957,8.31391565,2.82E-87,2.34E-78,57.7260629,3.51E-80,0.032736016,0.585999909,2.12E-06
Spain,11.0469895,7.73328028,189723.789,1372.53947,195258.373,143.663111,101.51672,-245.201559,4.4441687,0.103097038,9.31508376,11.8007189,5.17E-07,9.55757657,3.28E-87,2.69E-78,66.3615385,4.04E-80,0.03763313,0.673832453,5.32E-09
Spain,12.5044541,8.75355657,214755.051,1553.64973,221020.381,162.620649,114.910133,-277.555112,5.03037267,0.116675155,10.5441245,13.3576253,3.72E-05,10.8185472,3.72E-87,3.04E-78,75.1168276,4.57E-80,0.042598189,0.762705312,3.38E-07
Spain,13.9813467,9.78743321,240119.178,1737.12114,247133.904,183.459791,128.479155,-310.365022,5.62074933,0.130368523,11.7903506,14.9352882,1.77E-06,12.0963089,3.44E-84,3.40E-78,83.9888263,5.11E-80,0.047629433,0.85125932,1.44E-08
Spain,15.4746935,10.8328284,265768.22,1922.76114,273531.76,203.055078,142.201989,-343.527888,6.2206667,0.144202629,13.0499271,16.5305253,0.000136276,13.3883486,3.80E-84,3.76E-78,92.9596678,5.66E-80,0.05271673,0.94210291,1.00E-06
Spain,16.9832569,11.8888757,291674.762,2110.09538,300196.012,222.850048,156.064687,-377.003891,6.82757736,0.158356661,14.3218294,18.1420176,2.16E-06,14.6934861,4.19E-84,4.13E-78,102.021919,6.21E-80,0.057855865,1.03403453,1.45E-08
Spain,18.5068735,12.9554608,317862.001,2300.07479,327136.456,242.842485,170.065579,-410.908489,7.43706551,0.171959042,15.6084423,19.7695883,0.000927919,16.0119125,4.45E-84,4.49E-78,111.174596,6.76E-80,0.063046279,1.12624468,5.71E-06
